Date,Price,Open,High,Low,Vol.,Change %
26-01-2023,1.2395,1.241,1.243,1.2385,55.41K,-0.04%
25-01-2023,1.24,1.2334,1.2406,1.2282,97.74K,0.58%
24-01-2023,1.2328,1.2378,1.2415,1.2262,98.02K,-0.36%
23-01-2023,1.2373,1.2404,1.245,1.2322,102.18K,-0.16%
20-01-2023,1.2393,1.2391,1.2406,1.2334,145.74K,0.03%
19-01-2023,1.2389,1.2351,1.2399,1.2312,170.84K,0.35%
18-01-2023,1.2346,1.229,1.2437,1.2254,164.29K,0.47%
17-01-2023,1.2288,1.2201,1.2301,1.2169,163.72K,0.80%
16-01-2023,1.2191,1.2216,1.2291,1.217,116.73K,-0.29%
13-01-2023,1.2226,1.221,1.225,1.2149,164.94K,0.21%
12-01-2023,1.22,1.2146,1.2249,1.2087,132.68K,0.48%
11-01-2023,1.2142,1.2155,1.218,1.2099,134.96K,-0.11%
10-01-2023,1.2155,1.219,1.2199,1.2109,174.96K,-0.23%
09-01-2023,1.2183,1.2094,1.2212,1.2087,144.30K,0.75%